Age,Gender,Education Level,Job Title,Years of Experience,Salary,Location,Skills
32,Male,Bachelor's,Software Engineer,5,90000,San Francisco,"Python, Java, Agile, Cloud Computing"
28,Female,Master's,Data Analyst,3,65000,New York,"SQL, Tableau, Excel, Data Visualization"
45,Male,PhD,Senior Manager,15,150000,Chicago,"Leadership, Strategic Planning, Budgeting"
36,Female,Bachelor's,Sales Associate,7,60000,Austin,"CRM, Negotiation, Customer Relations"
52,Male,Master's,Director,20,200000,Boston,"Executive Leadership, Business Strategy, P&L"
29,Male,Bachelor's,Marketing Analyst,2,55000,Seattle,"Google Analytics, SEO, Market Research"
42,Female,Master's,Product Manager,12,120000,San Jose,"Product Lifecycle, UX, Scrum, Roadmapping"
31,Male,Bachelor's,Sales Manager,4,80000,Dallas,"Salesforce, Team Leadership, B2B Sales"
26,Female,Bachelor's,Marketing Coordinator,1,45000,Denver,"Social Media, Content Creation, Events"
38,Male,PhD,Senior Scientist,10,110000,Boston,"Research, Data Analysis, Machine Learning"
29,Male,Master's,Software Developer,3,75000,Austin,"JavaScript, React, Git, CI/CD"
48,Female,Bachelor's,HR Manager,18,140000,Chicago,"Recruiting, Employee Relations, Compliance"
35,Male,Bachelor's,Financial Analyst,6,65000,New York,"Excel, Financial Modeling, Valuation"
40,Female,Master's,Project Manager,14,130000,Atlanta,"PMP, Risk Management, Stakeholder Communication"
27,Male,Bachelor's,Customer Service Rep,2,40000,Orlando,"Customer Support, Zendesk, Conflict Resolution"
44,Male,Bachelor's,Operations Manager,16,125000,Houston,"Process Improvement, Supply Chain, Lean Six Sigma"
33,Female,Master's,Marketing Manager,7,90000,Los Angeles,"Digital Marketing, Brand Strategy, Campaign Management"
39,Male,PhD,Senior Engineer,12,115000,Seattle,"C++, Embedded Systems, Hardware Design"
25,Female,Bachelor's,Data Entry Clerk,0,35000,Phoenix,"Typing, Data Accuracy, Office Software"
51,Male,Bachelor's,Sales Director,22,180000,New York,"Enterprise Sales, Contract Negotiation, Revenue Growth"
34,Female,Master's,Business Analyst,5,80000,Charlotte,"Requirements Gathering, UML, Process Mapping"
47,Male,Master's,VP of Operations,19,190000,Chicago,"Operations Strategy, Scaling, Cost Optimization"
30,Male,Bachelor's,IT Support,2,50000,Philadelphia,"Helpdesk, Troubleshooting, Active Directory"
36,Female,Bachelor's,Recruiter,9,60000,Austin,"Talent Acquisition, LinkedIn Recruiter, Interviewing"
